# 364 Irregular verbs + 3 Regular
# A
arise,	arose,	arisen
awake,	(awakened, awoke),	(awakened, awoken)
# B
backslide,	backslid,	(backslidden, backslid)
be,	(was, were),	been
bear,	bore,	(born, borne)
beat,	beat,	(beaten, beat)
become,	became,	become
begin,	began,	begun
bend,	bent,	bent
bet,	(bet, betted),	(bet, betted)
bid,	(bid, bade),	(bid, bidden)
bind,	bound,	bound
bite,	bit,	bitten
bleed,	bled,	bled
blow,	blew,	blown
break,	broke,	broken
breed,	bred,	bred
bring,	brought,	brought
broadcast,	(broadcast, broadcasted),	(broadcast, broadcasted)
browbeat,	browbeat,	(browbeaten, browbeat)
build,	built,	built
burn,	(burned , burnt),	(burned, burnt)
burst,	burst,	burst
bust,	(busted, bust),	(busted, bust)
buy,	bought,	bought
# C
cast,	cast,	cast
catch,	caught,	caught
choose,	chose,	chosen
cling,	clung,	clung
clothe,	(clothed, clad),	(clothed, clad)
come,	came,	come
cost,	cost,	cost
creep,	crept,	crept
crossbreed,	crossbred,	crossbred
cut,	cut,	cut
# D
daydream,	(daydreamed , daydreamt),	(daydreamed , daydreamt)
deal,	dealt,	dealt
dig,	dug,	dug
disprove,	disproved,	(disproved, disproven)
dive,	(dove , dived),	dived
do,	did,	done
draw,	drew,	drawn
dream,	(dreamed , dreamt),	(dreamed, dreamt)
drink,	drank,	drunk
drive,	drove,	driven
dwell,	(dwelt , dwelled),	(dwelt, dwelled)
# E
eat,	ate,	eaten
# F
fall,	fell,	fallen
feed,	fed,	fed
feel,	felt,	felt
fight,	fought,	fought
find,	found,	found
fit,	(fit , fitted),	(fit , fitted)
flee,	fled,	fled
fling,	flung,	flung
fly,	flew,	flown
forbid,	forbade,	forbidden
forecast,	forecast,	forecast
forego,	forewent,	foregone
foresee,	foresaw,	foreseen
foretell,	foretold,	foretold
forget,	forgot,	(forgotten , forgot)
forgive,	forgave,	forgiven
forsake,	forsook,	forsaken
freeze,	froze,	frozen
frostbite,	frostbit,	frostbitten
# G
get,	got,	(gotten, got)
give,	gave,	given
go,	went,	gone
grind,	ground,	ground
grow,	grew,	grown
# H
hand-feed,	hand-fed,	hand-fed
handwrite,	handwrote,	handwritten
hang,	hung,	hung
have,	had,	had
hear,	heard,	heard
hew,	hewed,	(hewn, hewed)
hide,	hid,	hidden
hit,	hit,	hit
hold,	held,	held
hurt,	hurt,	hurt
# I
inbreed,	inbred,	inbred
inlay,	inlaid,	inlaid
input,	(input, inputted),	(input, inputted)
interbreed,	interbred,	interbred
interweave,	(interwove, interweaved),	(interwoven, interweaved)
interwind,	interwound,	interwound
# J
jerry-build,	jerry-built,	jerry-built
# K
keep,	kept,	kept
kneel,	(knelt, kneeled),	(knelt, kneeled)
knit,	(knitted, knit),	(knitted, knit)
know,	knew,	known
# L
lay,	laid,	laid
lead,	led,	led
lean,	(leaned, leant),	(leaned, leant)
leap,	(leaped, leapt),	(leaped, leapt)
learn,	(learned, learnt),	(learned, learnt)
leave,	left,	left
lend,	lent,	lent
let,	let,	let
lie,	lay,	lain
lie /U0 # This means not telling the truth / REGULAR
light,	(lit, lighted),	(lit, lighted)
lip-read,	lip-read,	lip-read
lose,	lost,	lost
# M
make,	made,	made
mean,	meant,	meant
meet,	met,	met
miscast,	miscast,	miscast
misdeal,	misdealt,	misdealt
misdo,	misdid,	misdone
mishear,	misheard,	misheard
mislay,	mislaid,	mislaid
mislead,	misled,	misled
mislearn,	(mislearned, mislearnt),	(mislearned, mislearnt)
misread,	misread,	misread
misset,	misset,	misset
misspeak,	misspoke,	misspoken
misspell,	(misspelled, misspelt),	(misspelled, misspelt)
misspend,	misspent,	misspent
mistake,	mistook,	mistaken
misteach,	mistaught,	mistaught
misunderstand,	misunderstood,	misunderstood
miswrite,	miswrote,	miswritten
mow,	mowed,	(mowed, mown)
# O
offset,	offset,	offset
outbid,	outbid,	outbid
outbreed,	outbred,	outbred
outdo,	outdid,	outdone
outdraw,	outdrew,	outdrawn
outdrink,	outdrank,	outdrunk
outdrive,	outdrove,	outdriven
outfight,	outfought,	outfought
outfly,	outflew,	outflown
outgrow,	outgrew,	outgrown
outleap,	(outleaped, outleapt),	(outleaped, outleapt)
outride,	outrode,	outridden
outrun,	outran,	outrun
outsell,	outsold,	outsold
outshine,	(outshined, outshone),	(outshined, outshone)
outshoot,	outshot,	outshot
outsing,	outsang,	outsung
outsit,	outsat,	outsat
outsleep,	outslept,	outslept
outsmell,	(outsmelled, outsmelt),	(outsmelled, outsmelt)
outspeak,	outspoke,	outspoken
outspeed,	outsped,	outsped
outspend,	outspent,	outspent
outswear,	outswore,	outsworn
outswim,	outswam,	outswum
outthink,	outthought,	outthought
outthrow,	outthrew,	outthrown
outwrite,	outwrote,	outwritten
overbid,	overbid,	overbid
overbreed,	overbred,	overbred
overbuild,	overbuilt,	overbuilt
overbuy,	overbought,	overbought
overcome,	overcame,	overcome
overdo,	overdid,	overdone
overdraw,	overdrew,	overdrawn
overdrink,	overdrank,	overdrunk
overeat,	overate,	overeaten
overfeed,	overfed,	overfed
overhang,	overhung,	overhung
overhear,	overheard,	overheard
overlay,	overlaid,	overlaid
overpay,	overpaid,	overpaid
override,	overrode,	overridden
overrun,	overran,	overrun
oversee,	oversaw,	overseen
oversell,	oversold,	oversold
oversew,	oversewed,	(oversewn, oversewed)
overshoot,	overshot,	overshot
oversleep,	overslept,	overslept
overspeak,	overspoke,	overspoken
overspend,	overspent,	overspent
overspill,	(overspilled, overspilt),	(overspilled, overspilt)
overtake,	overtook,	overtaken
overthink,	overthought,	overthought
overthrow,	overthrew,	overthrown
overwind,	overwound,	overwound
overwrite,	overwrote,	overwritten
# P
partake,	partook,	partaken
pay,	paid,	paid
plead,	(pleaded, pled),	(pleaded, pled)
prebuild,	prebuilt,	prebuilt
predo,	predid,	predone
premake,	premade,	premade
prepay,	prepaid,	prepaid
presell,	presold,	presold
preset,	preset,	preset
preshrink,	preshrank,	preshrunk
proofread,	proofread,	proofread
prove,	proved,	(proven, proved)
put,	put,	put
# Q
quick-freeze,	quick-froze,	quick-frozen
quit,	(quit, quitted),	(quit, quitted)
# R
read,	read,	read
reawake,	reawoke,	reawaken
rebid,	rebid,	rebid
rebind,	rebound,	rebound
rebroadcast,	(rebroadcast, rebroadcasted),	(rebroadcast, rebroadcasted)
rebuild,	rebuilt,	rebuilt
recast,	recast,	recast
recut,	recut,	recut
redeal,	redealt,	redealt
redo,	redid,	redone
redraw,	redrew,	redrawn
refit,	(refit, refitted),	(refit, refitted)
regrind,	reground,	reground
regrow,	regrew,	regrown
rehang,	rehung,	rehung
rehear,	reheard,	reheard
reknit,	(reknitted, reknit),	(reknitted, reknit)
relay,	relaid,	relaid
relay /U0
relearn,	(relearned, relearnt),	(relearned, relearnt)
relight,	(relit, relighted),	(relit, relighted)
remake,	remade,	remade
repay,	repaid,	repaid
reread,	reread,	reread
rerun,	reran,	rerun
resell,	resold,	resold
resend,	resent,	resent
reset,	reset,	reset
resew,	resewed,	(resewn, resewed)
retake,	retook,	retaken
reteach,	retaught,	retaught
retear,	retore,	retorn
retell,	retold,	retold
rethink,	rethought,	rethought
retread,	retread,	retread
retrofit,	(retrofitted, retrofit),	(retrofitted, retrofit)
rewake,	(rewoke, rewaked),	(rewaken, rewaked)
rewear,	rewore,	reworn
reweave,	(rewove, reweaved),	(rewoven, reweaved)
rewed,	(rewed, rewedded),	(rewed, rewedded)
rewet,	(rewet, rewetted),	(rewet, rewetted)
rewin,	rewon,	rewon
rewind,	rewound,	rewound
rewrite,	rewrote,	rewritten
rid,	rid,	rid
ride,	rode,	ridden
ring,	rang,	rung
rise,	rose,	risen
roughcast,	roughcast,	roughcast
run,	ran,	run
# S
sand-cast,	sand-cast,	sand-cast
saw,	sawed,	(sawed, sawn)
say,	said,	said
see,	saw,	seen
seek,	sought,	sought
sell,	sold,	sold
send,	sent,	sent
set,	set,	set
sew,	sewed,	(sewn, sewed)
shake,	shook,	shaken
shave,	shaved,	(shaved, shaven)
shear,	sheared,	(sheared, shorn)
shed,	shed,	shed
shine,	(shined, shone),	(shined, shone)
shit,	(shat, shitted),	(shat, shitted)
shoot,	shot,	shot
show,	showed,	(shown, showed)
shrink,	(shrank, shrunk),	shrunk
shut,	shut,	shut
sight-read,	sight-read,	sight-read
sing,	sang,	sung
sink,	(sank, sunk),	sunk
sit,	sat,	sat
slay,	(slew, slayed),	(slain, slayed) # (kill)
slay /U0 #  (amuse) REGULAR
sleep,	slept,	slept
slide,	slid,	slid
sling,	slung,	slung
slink,	(slinked, slunk),	(slinked, slunk)
slit,	slit,	slit
smell,	(smelled, smelt),	(smelled, smelt)
sneak,	(sneaked, snuck),	(sneaked, snuck)
sow,	sowed,	(sown, sowed)
speak,	spoke,	spoken
speed,	(sped, speeded),	(sped, speeded)
spell,	(spelled, spelt),	(spelled, spelt)
spend,	spent,	spent
spill,	(spilled, spilt),	(spilled, spilt)
spin,	spun,	spun
spit,	(spit, spat),	(spit, spat)
split,	split,	split
spoil,	(spoiled, spoilt),	(spoiled, spoilt)
spoon-feed,	spoon-fed,	spoon-fed
spread,	spread,	spread
spring,	(sprang, sprung),	sprung
stand,	stood,	stood
steal,	stole,	stolen
stick,	stuck,	stuck
sting,	stung,	stung
stink,	(stunk, stank),	stunk
strew,	strewed,	(strewn, strewed)
stride,	strode,	stridden
strike,	struck,	(struck, stricken)
string,	strung,	strung
